Ticket_ID,Created_At,Channel,Response_Time_Minutes,Resolution_Time_Minutes,CSAT_Score,Issue_Type,Daily_Ticket_Count
T0450,27-03-2025,LiveAgent,19,114,3,App crash,15
T0451,26-02-2025,Chatbot,5,58,4,Lost item,10
T0452,29-01-2025,Chatbot,29,88,4,Lost item,8
T0453,19-03-2025,Chatbot,5,102,4,Account access,9
T0454,10-03-2025,Chatbot,20,163,5,Lost item,13
T0455,16-02-2025,LiveAgent,17,27,3,App crash,13
T0456,03-03-2025,Chatbot,21,105,1,App crash,23
T0457,10-03-2025,Chatbot,10,47,5,Ride cancellation,13
T0458,17-03-2025,LiveAgent,5,96,4,Ride cancellation,9
T0459,16-01-2025,LiveAgent,4,97,4,Driver issue,13
T0460,31-03-2025,Chatbot,6,59,5,App crash,21
T0461,31-03-2025,LiveAgent,26,17,5,App crash,21
T0462,17-02-2025,LiveAgent,4,178,5,App crash,11
T0463,26-03-2025,Chatbot,7,143,4,Ride cancellation,8
T0464,08-02-2025,LiveAgent,7,78,4,Account access,12
T0465,02-02-2025,LiveAgent,18,130,4,Account access,20
T0466,23-01-2025,Chatbot,3,73,3,Lost item,14
T0467,10-01-2025,Chatbot,1,166,4,Account access,8
T0468,10-03-2025,Chatbot,24,165,3,Payment problem,13
T0469,03-02-2025,LiveAgent,25,148,5,Ride cancellation,11
T0470,21-02-2025,LiveAgent,4,130,4,App crash,13
T0471,10-01-2025,LiveAgent,6,74,4,Account access,8
T0472,19-01-2025,Chatbot,9,116,4,Ride cancellation,15
T0473,27-02-2025,LiveAgent,22,156,2,Account access,15
T0474,01-01-2025,Chatbot,14,146,1,Driver issue,18
T0475,10-03-2025,Chatbot,28,164,4,App crash,13
T0476,04-01-2025,Chatbot,12,171,2,Driver issue,13
T0477,16-01-2025,LiveAgent,28,109,4,App crash,13
T0478,24-01-2025,Chatbot,25,91,5,Ride cancellation,17
T0479,21-03-2025,LiveAgent,20,152,5,Lost item,8
T0480,02-01-2025,Chatbot,24,60,4,Account access,15
T0481,01-02-2025,Chatbot,25,150,3,Account access,12
T0482,25-03-2025,Chatbot,4,92,5,Payment problem,11
T0483,24-01-2025,Chatbot,21,121,5,Driver issue,17
T0484,12-01-2025,LiveAgent,24,65,3,Account access,14
T0485,19-02-2025,Chatbot,12,174,4,Ride cancellation,11
T0486,04-02-2025,LiveAgent,10,154,3,Lost item,12
T0487,02-02-2025,Chatbot,22,166,5,Ride cancellation,20
T0488,02-02-2025,LiveAgent,28,170,5,Driver issue,20
T0489,02-03-2025,Chatbot,7,69,1,Payment problem,12
T0490,20-02-2025,LiveAgent,3,129,5,Account access,15
T0491,12-02-2025,LiveAgent,23,147,4,Ride cancellation,5
T0492,12-01-2025,Chatbot,28,32,5,App crash,14
T0493,08-03-2025,Chatbot,14,158,4,Lost item,10
T0494,06-03-2025,LiveAgent,24,22,5,Ride cancellation,9
T0495,02-02-2025,LiveAgent,10,110,2,Lost item,20
T0496,09-02-2025,Chatbot,16,170,3,Account access,9
T0497,15-03-2025,LiveAgent,16,33,2,App crash,10
T0498,12-02-2025,LiveAgent,22,117,5,Payment problem,5
T0499,13-02-2025,LiveAgent,10,20,5,Payment problem,12
T0500,29-01-2025,LiveAgent,25,26,5,App crash,8
T0501,13-01-2025,LiveAgent,13,34,5,Lost item,11
T0502,12-01-2025,Chatbot,6,103,2,Account access,14
T0503,15-02-2025,Chatbot,12,30,4,Ride cancellation,7
T0504,02-01-2025,Chatbot,9,93,2,App crash,15
T0505,04-02-2025,LiveAgent,13,149,3,Driver issue,12
T0506,28-03-2025,LiveAgent,4,46,3,Lost item,10
T0507,22-03-2025,Chatbot,24,51,4,Payment problem,7
T0508,31-03-2025,LiveAgent,11,154,3,App crash,21
T0509,08-01-2025,LiveAgent,20,110,2,Payment problem,15
T0510,26-01-2025,Chatbot,18,57,3,Lost item,12
T0511,15-03-2025,Chatbot,26,112,2,Payment problem,10
T0512,31-03-2025,Chatbot,11,37,5,App crash,21
T0513,03-02-2025,Chatbot,25,50,5,Lost item,11
T0514,07-01-2025,Chatbot,21,108,5,Driver issue,8
T0515,09-03-2025,Chatbot,4,56,4,App crash,6
T0516,27-02-2025,Chatbot,18,155,3,Ride cancellation,15
T0517,16-03-2025,Chatbot,1,114,5,Account access,17
T0518,29-01-2025,Chatbot,27,133,3,App crash,8
T0519,05-02-2025,Chatbot,7,22,3,Lost item,13
T0520,30-03-2025,LiveAgent,6,150,3,Account access,14
T0521,21-01-2025,Chatbot,15,109,2,App crash,11
T0522,05-02-2025,LiveAgent,18,40,3,Driver issue,13
T0523,10-01-2025,LiveAgent,24,139,4,Driver issue,8
T0524,14-03-2025,Chatbot,11,25,4,Ride cancellation,8
T0525,24-01-2025,Chatbot,20,146,2,Payment problem,17
T0526,05-03-2025,Chatbot,24,82,3,Account access,13
T0527,18-02-2025,Chatbot,15,175,5,Lost item,10
T0528,05-02-2025,LiveAgent,16,63,2,Lost item,13
T0529,23-03-2025,Chatbot,7,109,3,Payment problem,7
T0530,24-01-2025,Chatbot,21,118,5,Driver issue,17
T0531,23-01-2025,Chatbot,10,96,3,Driver issue,14
T0532,03-03-2025,Chatbot,26,171,2,App crash,23
T0533,06-02-2025,LiveAgent,12,146,4,Ride cancellation,8
T0534,12-01-2025,Chatbot,24,17,3,Account access,14
T0535,24-02-2025,Chatbot,14,16,4,Ride cancellation,8
T0536,13-01-2025,Chatbot,25,45,5,Ride cancellation,11
T0537,23-01-2025,LiveAgent,5,27,2,App crash,14
T0538,30-03-2025,Chatbot,26,12,4,Ride cancellation,14
T0539,30-01-2025,Chatbot,21,37,4,Payment problem,10
T0540,17-01-2025,LiveAgent,18,79,2,App crash,16
T0541,03-03-2025,Chatbot,5,158,4,Payment problem,23
T0542,25-03-2025,LiveAgent,3,37,3,App crash,11
T0543,30-03-2025,LiveAgent,23,63,4,Ride cancellation,14
T0544,27-03-2025,LiveAgent,26,74,2,Payment problem,15
T0545,13-01-2025,LiveAgent,5,109,4,Payment problem,11
T0546,28-02-2025,LiveAgent,24,30,3,Payment problem,12
T0547,19-01-2025,LiveAgent,17,22,5,App crash,15
T0548,18-02-2025,LiveAgent,19,66,2,Lost item,10
T0549,12-01-2025,LiveAgent,19,58,4,Ride cancellation,14
T0550,02-03-2025,Chatbot,25,127,4,Payment problem,12
T0551,19-01-2025,Chatbot,21,63,4,Account access,15
T0552,17-03-2025,Chatbot,12,147,4,Lost item,9
T0553,09-01-2025,Chatbot,25,62,4,Account access,13
T0554,12-03-2025,Chatbot,29,53,5,Ride cancellation,6
T0555,28-01-2025,Chatbot,9,56,5,Ride cancellation,10
T0556,19-03-2025,Chatbot,1,62,3,Payment problem,9
T0557,21-02-2025,LiveAgent,18,83,4,Payment problem,13
T0558,24-03-2025,LiveAgent,21,55,5,App crash,5
T0559,16-01-2025,Chatbot,4,22,5,Lost item,13
T0560,10-03-2025,Chatbot,10,174,5,Lost item,13
T0561,12-01-2025,LiveAgent,25,111,4,Payment problem,14
T0562,25-01-2025,Chatbot,7,33,3,Ride cancellation,10
T0563,21-02-2025,LiveAgent,22,11,4,Payment problem,13
T0564,26-03-2025,Chatbot,23,90,4,Ride cancellation,8
T0565,22-02-2025,Chatbot,1,109,4,Ride cancellation,12
T0566,23-01-2025,LiveAgent,17,151,4,Payment problem,14
T0567,16-01-2025,Chatbot,24,147,5,Driver issue,13
T0568,26-02-2025,LiveAgent,29,172,4,Lost item,10
T0569,08-02-2025,LiveAgent,29,162,5,Account access,12
T0570,22-02-2025,Chatbot,2,140,4,Ride cancellation,12
T0571,11-02-2025,LiveAgent,28,120,3,Ride cancellation,10
T0572,27-02-2025,LiveAgent,26,111,4,Driver issue,15
T0573,08-02-2025,Chatbot,11,26,5,Account access,12
T0574,14-01-2025,LiveAgent,9,21,2,App crash,11
T0575,05-01-2025,Chatbot,7,125,3,Driver issue,13
T0576,04-02-2025,LiveAgent,22,33,5,Account access,12
T0577,28-03-2025,LiveAgent,17,38,3,Driver issue,10
T0578,16-03-2025,Chatbot,17,162,4,Ride cancellation,17
T0579,18-01-2025,LiveAgent,2,131,4,Lost item,9
T0580,17-03-2025,LiveAgent,6,99,4,Driver issue,9
T0581,09-01-2025,LiveAgent,14,74,4,App crash,13
T0582,15-03-2025,LiveAgent,6,93,3,Payment problem,10
T0583,27-02-2025,LiveAgent,2,128,4,Account access,15
T0584,17-01-2025,Chatbot,1,165,4,Driver issue,16
T0585,07-01-2025,LiveAgent,10,25,4,Driver issue,8
T0586,15-02-2025,Chatbot,21,113,2,App crash,7
T0587,13-01-2025,Chatbot,5,101,4,Lost item,11
T0588,09-02-2025,LiveAgent,2,36,3,Driver issue,9
T0589,11-02-2025,Chatbot,22,179,3,Driver issue,10
T0590,09-01-2025,Chatbot,16,171,3,Lost item,13
T0591,19-02-2025,Chatbot,25,174,3,App crash,11
T0592,27-01-2025,Chatbot,2,143,5,Account access,11
T0593,07-03-2025,LiveAgent,10,144,3,Account access,10
T0594,05-01-2025,Chatbot,2,162,5,Driver issue,13
T0595,29-01-2025,LiveAgent,16,42,5,Lost item,8
T0596,06-02-2025,Chatbot,16,64,4,Driver issue,8
T0597,07-02-2025,LiveAgent,19,16,2,Payment problem,12
T0598,24-03-2025,Chatbot,29,66,4,Account access,5
T0599,08-01-2025,Chatbot,7,135,5,Ride cancellation,15
T0600,06-03-2025,LiveAgent,22,21,4,Payment problem,9
T0601,27-03-2025,LiveAgent,12,25,2,Driver issue,15
T0602,17-01-2025,Chatbot,24,52,4,App crash,16
T0603,12-03-2025,Chatbot,15,126,5,Account access,6
T0604,30-03-2025,Chatbot,8,144,5,Ride cancellation,14
T0605,14-02-2025,Chatbot,6,120,3,Payment problem,10
T0606,04-01-2025,LiveAgent,28,60,4,Account access,13
T0607,05-02-2025,Chatbot,27,169,3,Lost item,13
T0608,11-03-2025,Chatbot,10,84,3,App crash,11
T0609,31-01-2025,Chatbot,3,17,5,Payment problem,4
T0610,19-01-2025,Chatbot,19,54,3,Lost item,15
T0611,02-03-2025,Chatbot,17,68,3,Driver issue,12
T0612,23-02-2025,Chatbot,7,141,1,Lost item,12
T0613,08-02-2025,Chatbot,21,113,5,Payment problem,12
T0614,15-03-2025,Chatbot,20,166,5,Payment problem,10
T0615,31-03-2025,LiveAgent,26,166,4,Driver issue,21
T0616,19-01-2025,Chatbot,4,107,5,Lost item,15
T0617,08-02-2025,LiveAgent,14,165,3,Lost item,12
T0618,08-03-2025,Chatbot,20,88,4,Driver issue,10
T0619,14-02-2025,LiveAgent,22,133,4,Lost item,10
T0620,13-01-2025,LiveAgent,15,13,2,Account access,11
T0621,27-02-2025,LiveAgent,24,99,4,Driver issue,15
T0622,20-01-2025,LiveAgent,8,113,5,App crash,8
T0623,13-03-2025,Chatbot,21,146,1,Payment problem,9
T0624,02-03-2025,Chatbot,15,128,3,App crash,12
T0625,08-02-2025,Chatbot,22,142,3,Account access,12
T0626,01-01-2025,Chatbot,20,65,3,Account access,18
T0627,03-01-2025,Chatbot,28,105,5,Ride cancellation,14
T0628,18-03-2025,Chatbot,14,84,4,Ride cancellation,8
T0629,03-03-2025,LiveAgent,27,152,4,Ride cancellation,23
T0630,04-03-2025,Chatbot,29,41,5,Driver issue,14
T0631,25-01-2025,LiveAgent,9,37,3,Lost item,10
T0632,25-02-2025,LiveAgent,8,31,4,Account access,10
T0633,02-02-2025,LiveAgent,26,26,4,App crash,20
T0634,07-02-2025,Chatbot,28,68,4,App crash,12
T0635,06-01-2025,Chatbot,26,99,5,App crash,12
T0636,27-02-2025,Chatbot,17,115,5,App crash,15
T0637,13-02-2025,Chatbot,2,35,4,Ride cancellation,12
T0638,14-02-2025,LiveAgent,25,34,5,App crash,10
T0639,01-02-2025,Chatbot,24,147,3,Lost item,12
T0640,14-02-2025,LiveAgent,3,54,1,Ride cancellation,10
T0641,02-03-2025,Chatbot,8,92,3,App crash,12
T0642,16-02-2025,LiveAgent,12,20,3,Driver issue,13
T0643,21-01-2025,LiveAgent,1,113,4,Payment problem,11
T0644,21-03-2025,Chatbot,10,77,4,Payment problem,8
T0645,26-03-2025,Chatbot,20,104,5,Payment problem,8
T0646,16-03-2025,Chatbot,3,165,4,Ride cancellation,17
T0647,05-02-2025,Chatbot,6,74,4,App crash,13
T0648,19-01-2025,Chatbot,7,58,2,Account access,15
T0649,20-01-2025,Chatbot,20,61,1,Account access,8
T0650,26-02-2025,Chatbot,23,111,4,Account access,10
T0651,18-01-2025,Chatbot,25,66,4,Ride cancellation,9
T0652,16-02-2025,Chatbot,27,56,5,Lost item,13
T0653,18-02-2025,LiveAgent,18,168,3,Driver issue,10
T0654,14-01-2025,Chatbot,11,35,1,Driver issue,11
T0655,15-01-2025,LiveAgent,19,123,4,Payment problem,11
T0656,31-01-2025,Chatbot,5,14,3,Payment problem,4
T0657,01-01-2025,Chatbot,19,93,1,Account access,18
T0658,23-02-2025,LiveAgent,11,61,4,Account access,12
T0659,03-01-2025,Chatbot,24,114,2,Payment problem,14
T0660,16-01-2025,Chatbot,12,63,4,App crash,13
T0661,28-03-2025,Chatbot,10,170,3,Lost item,10
T0662,26-02-2025,Chatbot,8,175,3,Lost item,10
T0663,16-03-2025,Chatbot,24,164,4,Lost item,17
T0664,12-01-2025,Chatbot,28,24,5,Lost item,14
T0665,15-03-2025,LiveAgent,28,70,4,Payment problem,10
T0666,16-01-2025,Chatbot,9,131,5,Driver issue,13
T0667,13-03-2025,Chatbot,4,30,2,Payment problem,9
T0668,17-03-2025,Chatbot,5,55,5,Lost item,9
T0669,24-01-2025,LiveAgent,21,143,3,Payment problem,17
T0670,28-01-2025,Chatbot,8,47,4,Lost item,10
T0671,08-01-2025,Chatbot,23,71,4,Ride cancellation,15
T0672,05-02-2025,Chatbot,9,95,5,Account access,13
T0673,31-03-2025,LiveAgent,15,87,4,Driver issue,21
T0674,08-01-2025,Chatbot,15,55,2,Ride cancellation,15
T0675,27-02-2025,Chatbot,16,150,1,App crash,15
T0676,01-03-2025,Chatbot,14,12,5,Payment problem,13
T0677,19-02-2025,LiveAgent,8,15,4,App crash,11
T0678,28-01-2025,Chatbot,18,102,5,Payment problem,10
T0679,10-02-2025,Chatbot,10,17,3,Account access,5
T0680,05-03-2025,LiveAgent,28,117,3,Ride cancellation,13
T0681,27-01-2025,LiveAgent,20,170,1,Account access,11
T0682,04-03-2025,Chatbot,6,84,5,Lost item,14
T0683,17-01-2025,LiveAgent,12,86,4,Account access,16
T0684,14-03-2025,Chatbot,2,59,5,Account access,8
T0685,02-02-2025,Chatbot,7,20,3,Lost item,20
T0686,25-03-2025,Chatbot,16,104,4,Payment problem,11
T0687,18-03-2025,LiveAgent,3,165,4,Lost item,8
T0688,29-01-2025,Chatbot,13,79,3,Ride cancellation,8
T0689,13-01-2025,Chatbot,3,178,5,Account access,11
T0690,15-02-2025,Chatbot,27,25,5,Lost item,7
T0691,04-02-2025,LiveAgent,18,77,5,Account access,12
T0692,06-01-2025,Chatbot,11,108,4,Ride cancellation,12
T0693,23-03-2025,Chatbot,8,57,3,App crash,7
T0694,10-03-2025,Chatbot,6,73,3,Ride cancellation,13
T0695,16-02-2025,Chatbot,1,99,5,Driver issue,13
T0696,25-01-2025,Chatbot,28,85,1,Driver issue,10
T0697,07-03-2025,LiveAgent,1,148,4,Driver issue,10
T0698,10-01-2025,Chatbot,23,110,4,Account access,8
T0699,25-02-2025,Chatbot,8,98,4,Payment problem,10
T0700,30-01-2025,LiveAgent,5,27,5,Payment problem,10
T0701,05-01-2025,Chatbot,28,28,3,Payment problem,13
T0702,02-02-2025,Chatbot,16,64,3,Account access,20
T0703,06-03-2025,LiveAgent,11,111,2,Ride cancellation,9
T0704,18-01-2025,Chatbot,5,127,4,Payment problem,9
T0705,18-02-2025,Chatbot,4,163,3,App crash,10
T0706,11-01-2025,Chatbot,6,143,3,Driver issue,5
T0707,26-03-2025,Chatbot,14,13,5,Ride cancellation,8
T0708,26-01-2025,Chatbot,22,117,5,Driver issue,12
T0709,04-03-2025,Chatbot,19,124,3,Payment problem,14
T0710,30-03-2025,Chatbot,9,38,4,Ride cancellation,14
T0711,27-03-2025,Chatbot,12,68,5,Lost item,15
T0712,28-02-2025,LiveAgent,11,134,2,App crash,12
T0713,27-01-2025,LiveAgent,14,107,2,Payment problem,11
T0714,18-02-2025,Chatbot,23,26,3,Payment problem,10
T0715,18-03-2025,Chatbot,16,116,4,App crash,8
T0716,02-02-2025,LiveAgent,1,52,3,App crash,20
T0717,01-01-2025,Chatbot,13,89,5,Lost item,18
T0718,21-01-2025,Chatbot,23,171,4,Payment problem,11
T0719,24-02-2025,LiveAgent,21,17,4,Account access,8
T0720,06-01-2025,Chatbot,21,150,3,Payment problem,12
T0721,22-03-2025,LiveAgent,13,115,4,Driver issue,7
T0722,10-03-2025,LiveAgent,2,17,4,Ride cancellation,13
T0723,05-01-2025,Chatbot,4,105,5,Ride cancellation,13
T0724,03-01-2025,Chatbot,28,103,5,Driver issue,14
T0725,22-02-2025,Chatbot,6,74,4,Ride cancellation,12
T0726,23-01-2025,LiveAgent,26,48,5,App crash,14
T0727,22-02-2025,LiveAgent,27,90,5,Ride cancellation,12
T0728,06-02-2025,LiveAgent,23,93,5,Ride cancellation,8
T0729,15-03-2025,Chatbot,27,97,2,Driver issue,10
T0730,15-03-2025,LiveAgent,5,95,1,Lost item,10
T0731,24-03-2025,LiveAgent,25,102,3,Ride cancellation,5
T0732,17-01-2025,LiveAgent,3,95,4,Account access,16
T0733,26-03-2025,LiveAgent,1,53,4,Ride cancellation,8
T0734,19-03-2025,LiveAgent,4,146,4,Lost item,9
T0735,14-03-2025,LiveAgent,25,174,5,Driver issue,8
T0736,01-01-2025,Chatbot,20,83,5,Lost item,18
T0737,20-02-2025,Chatbot,2,45,5,Driver issue,15
T0738,14-02-2025,Chatbot,26,110,3,App crash,10
T0739,18-03-2025,LiveAgent,5,165,4,Driver issue,8
T0740,04-01-2025,Chatbot,3,179,3,App crash,13
T0741,03-03-2025,LiveAgent,29,179,3,App crash,23
T0742,06-03-2025,LiveAgent,28,113,3,Driver issue,9
T0743,01-02-2025,LiveAgent,29,75,3,Account access,12
T0744,03-02-2025,Chatbot,9,64,4,Payment problem,11
T0745,13-03-2025,Chatbot,20,100,5,Driver issue,9
T0746,08-02-2025,Chatbot,6,31,2,Ride cancellation,12
T0747,26-01-2025,LiveAgent,18,110,4,Account access,12
T0748,03-02-2025,LiveAgent,6,164,4,Account access,11
T0749,23-02-2025,LiveAgent,19,130,3,Ride cancellation,12
T0750,03-01-2025,Chatbot,28,102,4,Payment problem,14
T0751,19-02-2025,LiveAgent,12,117,3,Account access,11
T0752,12-01-2025,LiveAgent,25,150,4,App crash,14
T0753,06-03-2025,Chatbot,11,19,4,Payment problem,9
T0754,23-02-2025,LiveAgent,2,18,3,Ride cancellation,12
T0755,05-01-2025,Chatbot,15,164,2,Payment problem,13
T0756,26-02-2025,Chatbot,12,43,4,Driver issue,10
T0757,17-01-2025,LiveAgent,12,138,5,Payment problem,16
T0758,16-02-2025,Chatbot,9,169,3,App crash,13
T0759,23-01-2025,LiveAgent,21,98,4,Driver issue,14
T0760,20-03-2025,LiveAgent,24,102,4,Lost item,8
T0761,26-03-2025,Chatbot,2,80,5,Ride cancellation,8
T0762,14-01-2025,Chatbot,22,76,5,Ride cancellation,11
T0763,07-03-2025,Chatbot,3,157,4,Payment problem,10
T0764,16-03-2025,Chatbot,12,126,4,Account access,17
T0765,20-02-2025,Chatbot,28,103,5,Driver issue,15
T0766,07-02-2025,Chatbot,26,172,4,Lost item,12
T0767,05-03-2025,Chatbot,16,108,3,Driver issue,13
T0768,07-02-2025,Chatbot,21,122,1,Ride cancellation,12
T0769,19-02-2025,Chatbot,28,112,5,Driver issue,11
T0770,23-03-2025,LiveAgent,24,100,5,Lost item,7
T0771,30-01-2025,LiveAgent,26,99,2,Account access,10
T0772,20-03-2025,Chatbot,1,26,4,Payment problem,8
T0773,20-02-2025,Chatbot,21,27,4,App crash,15
T0774,04-03-2025,LiveAgent,3,125,2,Driver issue,14
T0775,21-02-2025,LiveAgent,20,102,5,App crash,13
T0776,07-02-2025,LiveAgent,2,100,3,Ride cancellation,12
T0777,29-03-2025,LiveAgent,9,91,2,Payment problem,9
T0778,20-03-2025,Chatbot,19,77,4,Payment problem,8
T0779,30-01-2025,Chatbot,15,123,4,Driver issue,10
T0780,20-02-2025,Chatbot,18,10,1,Account access,15
T0781,22-03-2025,Chatbot,26,67,4,Payment problem,7
T0782,05-01-2025,Chatbot,11,163,4,Driver issue,13
T0783,29-01-2025,Chatbot,25,118,2,Driver issue,8
T0784,04-01-2025,Chatbot,23,157,3,App crash,13
T0785,10-01-2025,LiveAgent,16,125,4,Payment problem,8
T0786,25-02-2025,LiveAgent,22,96,3,Driver issue,10
T0787,17-01-2025,Chatbot,17,19,5,App crash,16
T0788,15-03-2025,LiveAgent,5,68,5,Lost item,10
T0789,17-01-2025,Chatbot,12,50,5,App crash,16
T0790,25-03-2025,LiveAgent,11,114,3,App crash,11
T0791,29-03-2025,Chatbot,15,142,5,Driver issue,9
T0792,10-03-2025,LiveAgent,27,131,4,Ride cancellation,13
T0793,03-02-2025,LiveAgent,3,154,3,Ride cancellation,11
T0794,06-01-2025,Chatbot,1,31,2,Account access,12
T0795,22-02-2025,Chatbot,20,107,2,Ride cancellation,12
T0796,07-03-2025,Chatbot,29,178,4,App crash,10
T0797,18-03-2025,Chatbot,16,77,4,Account access,8
T0798,12-02-2025,Chatbot,2,148,3,Driver issue,5
T0799,16-03-2025,LiveAgent,2,65,4,Payment problem,17
T0800,23-01-2025,Chatbot,3,158,3,App crash,14
T0801,24-02-2025,LiveAgent,8,108,4,App crash,8
T0802,21-03-2025,LiveAgent,24,85,4,Account access,8
T0803,16-03-2025,Chatbot,28,35,5,Driver issue,17
T0804,16-01-2025,Chatbot,15,124,5,Lost item,13
T0805,08-01-2025,Chatbot,7,156,4,App crash,15
T0806,04-01-2025,LiveAgent,6,118,4,Lost item,13
T0807,04-01-2025,Chatbot,9,56,4,Lost item,13
T0808,25-02-2025,LiveAgent,20,80,5,Ride cancellation,10
T0809,25-01-2025,LiveAgent,28,163,3,Driver issue,10
T0810,08-03-2025,Chatbot,1,49,3,Lost item,10
T0811,08-03-2025,Chatbot,8,142,2,Driver issue,10
T0812,27-01-2025,LiveAgent,23,158,4,Ride cancellation,11
T0813,01-02-2025,LiveAgent,23,141,4,Driver issue,12
T0814,19-02-2025,Chatbot,3,32,5,App crash,11
T0815,02-03-2025,Chatbot,4,115,3,Lost item,12
T0816,20-02-2025,LiveAgent,26,93,4,Driver issue,15
T0817,19-01-2025,Chatbot,25,152,5,Payment problem,15
T0818,21-01-2025,LiveAgent,15,125,5,Driver issue,11
T0819,05-01-2025,Chatbot,6,118,4,Lost item,13
T0820,23-03-2025,Chatbot,15,145,4,Ride cancellation,7
T0821,11-02-2025,LiveAgent,21,50,3,Ride cancellation,10
T0822,02-03-2025,Chatbot,3,121,5,Lost item,12
T0823,22-01-2025,Chatbot,25,156,2,App crash,8
T0824,21-01-2025,Chatbot,21,121,5,App crash,11
T0825,11-03-2025,Chatbot,21,112,4,Ride cancellation,11
T0826,01-01-2025,LiveAgent,14,55,4,Ride cancellation,18
T0827,05-01-2025,Chatbot,20,165,1,Lost item,13
T0828,12-01-2025,Chatbot,14,77,4,App crash,14
T0829,31-03-2025,LiveAgent,4,131,4,Ride cancellation,21
T0830,15-02-2025,LiveAgent,12,24,3,App crash,7
T0831,03-02-2025,Chatbot,17,174,4,Ride cancellation,11
T0832,18-02-2025,Chatbot,7,138,5,Driver issue,10
T0833,19-03-2025,LiveAgent,9,120,4,Payment problem,9
T0834,31-03-2025,LiveAgent,3,33,4,Account access,21
T0835,14-02-2025,Chatbot,28,36,2,Driver issue,10
T0836,27-01-2025,Chatbot,13,49,4,Account access,11
T0837,14-03-2025,Chatbot,15,173,2,Ride cancellation,8
T0838,26-01-2025,LiveAgent,18,33,4,Payment problem,12
T0839,16-02-2025,LiveAgent,19,33,5,Payment problem,13
T0840,27-03-2025,LiveAgent,1,13,4,Ride cancellation,15
T0841,25-02-2025,LiveAgent,6,76,2,Ride cancellation,10
T0842,04-03-2025,LiveAgent,27,43,4,App crash,14
T0843,17-02-2025,Chatbot,27,125,4,Ride cancellation,11
T0844,02-03-2025,Chatbot,23,32,4,Lost item,12
T0845,22-03-2025,Chatbot,27,118,5,Ride cancellation,7
T0846,26-01-2025,Chatbot,27,78,5,Lost item,12
T0847,05-02-2025,LiveAgent,2,104,4,Ride cancellation,13
T0848,01-01-2025,Chatbot,24,71,4,App crash,18
T0849,08-01-2025,Chatbot,14,178,3,Lost item,15
T0850,21-02-2025,Chatbot,6,66,2,Driver issue,13
T0851,20-03-2025,Chatbot,14,63,4,Lost item,8
T0852,16-02-2025,Chatbot,4,79,4,App crash,13
T0853,25-02-2025,Chatbot,21,110,4,Account access,10
T0854,27-03-2025,LiveAgent,8,66,4,Lost item,15
T0855,14-01-2025,Chatbot,3,147,2,Ride cancellation,11
T0856,31-03-2025,LiveAgent,19,177,4,Ride cancellation,21
T0857,28-01-2025,Chatbot,14,144,3,Account access,10
T0858,28-03-2025,Chatbot,27,112,3,App crash,10
T0859,19-03-2025,Chatbot,20,175,5,Payment problem,9
T0860,29-03-2025,Chatbot,17,94,1,Ride cancellation,9
T0861,02-01-2025,LiveAgent,25,70,4,Driver issue,15
T0862,26-01-2025,Chatbot,8,12,3,App crash,12
T0863,14-01-2025,Chatbot,24,137,5,Lost item,11
T0864,28-02-2025,LiveAgent,14,95,4,Lost item,12
T0865,25-02-2025,Chatbot,26,56,3,Driver issue,10
T0866,07-01-2025,Chatbot,6,85,4,Ride cancellation,8
T0867,03-01-2025,LiveAgent,23,47,4,App crash,14
T0868,23-01-2025,LiveAgent,22,173,5,Driver issue,14
T0869,18-01-2025,Chatbot,16,178,3,Ride cancellation,9
T0870,07-02-2025,LiveAgent,25,150,5,App crash,12
T0871,15-01-2025,LiveAgent,19,96,5,Lost item,11
T0872,05-03-2025,Chatbot,14,67,5,App crash,13
T0873,30-03-2025,LiveAgent,19,59,4,Account access,14
T0874,28-01-2025,Chatbot,3,39,4,Payment problem,10
T0875,15-03-2025,Chatbot,10,110,4,App crash,10
T0876,08-02-2025,Chatbot,19,34,5,Payment problem,12
T0877,26-02-2025,Chatbot,9,121,4,App crash,10
T0878,17-01-2025,LiveAgent,28,164,4,Payment problem,16
T0879,27-03-2025,Chatbot,20,135,4,Account access,15
T0880,31-03-2025,LiveAgent,13,132,4,Lost item,21
T0881,13-02-2025,LiveAgent,7,56,5,Ride cancellation,12
T0882,25-01-2025,Chatbot,14,127,2,Payment problem,10
T0883,17-01-2025,LiveAgent,9,48,5,Account access,16
T0884,13-01-2025,Chatbot,27,25,4,Payment problem,11
T0885,25-03-2025,Chatbot,28,31,5,Lost item,11
T0886,25-01-2025,LiveAgent,23,63,4,Payment problem,10
T0887,09-03-2025,Chatbot,25,158,4,Account access,6
T0888,10-01-2025,Chatbot,28,25,5,Account access,8
T0889,08-03-2025,Chatbot,19,68,3,Driver issue,10
T0890,18-01-2025,Chatbot,15,40,5,Lost item,9
T0891,27-03-2025,Chatbot,20,179,4,Driver issue,15
T0892,03-02-2025,Chatbot,14,41,4,Lost item,11
T0893,08-01-2025,LiveAgent,24,171,3,Payment problem,15
T0894,09-02-2025,Chatbot,6,18,4,Account access,9
T0895,24-03-2025,Chatbot,21,148,3,Driver issue,5
T0896,11-02-2025,Chatbot,29,19,1,Payment problem,10
T0897,10-02-2025,Chatbot,4,26,3,Account access,5
T0898,06-01-2025,LiveAgent,8,77,1,Lost item,12
T0899,21-02-2025,LiveAgent,17,57,5,Account access,13
